theme,rank,title,award,is_oral,public_total_votes,visits_last_7_days,github_stars,score,official_topic,url,alphaxiv_url
RL for LLMs and verifiable rewards,2,The Obfuscation Atlas: Mapping Where Honesty Emerges in RLVR with Deception Probes,Outstanding Paper Honorable Mention,true,14,71,13,6.164,Social Aspects->Alignment,https://icml.cc/virtual/2026/poster/60766,https://www.alphaxiv.org/abs/2602.15515
RL for LLMs and verifiable rewards,3,Process Reward Models That Think,,false,1815,361,89,3.5139,Deep Learning->Large Language Models,https://icml.cc/virtual/2026/poster/68817,https://www.alphaxiv.org/abs/2504.16828
RL for LLMs and verifiable rewards,4,Reinforcement Learning with Evolving Rubrics for Deep Research,,true,201,154,682,3.2887,Deep Learning->Large Language Models,https://icml.cc/virtual/2026/poster/65886,https://www.alphaxiv.org/abs/2511.19399
RL for LLMs and verifiable rewards,5,$\tau^2$-Bench: Evaluating Conversational Agents in a Dual-Control Environment,,true,89,91,1569,3.2246,Deep Learning->Large Language Models,https://icml.cc/virtual/2026/poster/64377,https://www.alphaxiv.org/abs/2506.07982
RL for LLMs and verifiable rewards,6,Agent0-VL: Exploring Self-Evolving Agent for Tool-Integrated Vision-Language Reasoning,,true,89,40,1228,3.0889,,https://icml.cc/virtual/2026/poster/63095,https://www.alphaxiv.org/abs/2511.19900
RL for LLMs and verifiable rewards,7,Maximum Likelihood Reinforcement Learning,,true,259,100,194,3.0101,Deep Learning->Large Language Models,https://icml.cc/virtual/2026/poster/65332,https://www.alphaxiv.org/abs/2602.02710
RL for LLMs and verifiable rewards,8,Holi-Spatial: Evolving Video Streams into Holistic 3D Spatial Intelligence,,true,52,21,356,2.7686,Applications->Computer Vision,https://icml.cc/virtual/2026/poster/63725,https://www.alphaxiv.org/abs/2603.07660
RL for LLMs and verifiable rewards,9,Distributional Inverse Reinforcement Learning,,true,5,6,474,2.7484,Reinforcement Learning->Inverse,https://icml.cc/virtual/2026/poster/63146,https://www.alphaxiv.org/abs/2510.03013
RL for LLMs and verifiable rewards,10,Reinforcement Learning via Self-Distillation,,false,718,334,1008,2.7426,Deep Learning->Algorithms,https://icml.cc/virtual/2026/poster/64121,https://www.alphaxiv.org/abs/2601.20802
RL for LLMs and verifiable rewards,11,Simultaneous Speech-to-Speech Translation Without Aligned Data,,true,27,8,260,2.6563,"Applications->Language, Speech and Dialog",https://icml.cc/virtual/2026/poster/66094,https://www.alphaxiv.org/abs/2602.11072
RL for LLMs and verifiable rewards,12,On Computation and Reinforcement Learning,,true,11,4,168,2.5449,Reinforcement Learning->Deep RL,https://icml.cc/virtual/2026/poster/65047,https://www.alphaxiv.org/abs/2602.05999
"Diffusion, flow, and generative modeling",1,The Flexibility Trap: Rethinking the Value of Arbitrary Order in Diffusion Language Models,Outstanding Paper Award,true,92,588,212,7.6736,Deep Learning->Large Language Models,https://icml.cc/virtual/2026/poster/61998,https://www.alphaxiv.org/abs/2601.15165
"Diffusion, flow, and generative modeling",2,Motion Attribution for Video Generation,Outstanding Paper Honorable Mention,true,67,208,0,5.9276,Deep Learning->Foundation Models,https://icml.cc/virtual/2026/poster/60542,https://www.alphaxiv.org/abs/2601.08828
"Diffusion, flow, and generative modeling",3,High-accuracy sampling for diffusion models and log-concave distributions,Outstanding Paper Award,true,9,183,0,5.8211,Probabilistic Methods->Monte Carlo and Sampling Methods,https://icml.cc/virtual/2026/poster/65132,https://www.alphaxiv.org/abs/2602.01338
"Diffusion, flow, and generative modeling",4,A Random Matrix Perspective on the Consistency of Diffusion Models,Outstanding Paper Honorable Mention,true,14,96,0,5.6787,Deep Learning->Generative Models and Autoencoders,https://icml.cc/virtual/2026/poster/62241,https://www.alphaxiv.org/abs/2602.02908
"Diffusion, flow, and generative modeling",5,Maximum Likelihood Reinforcement Learning,,true,259,100,194,3.0101,Deep Learning->Large Language Models,https://icml.cc/virtual/2026/poster/65332,https://www.alphaxiv.org/abs/2602.02710
"Diffusion, flow, and generative modeling",6,WeDLM: Reconciling Diffusion Language Models with Standard Causal Attention for Fast Inference,,true,60,17,644,2.8889,,https://icml.cc/virtual/2026/poster/64095,https://www.alphaxiv.org/abs/2512.22737
"Diffusion, flow, and generative modeling",7,Reinforcement Learning via Self-Distillation,,false,718,334,1008,2.7426,Deep Learning->Algorithms,https://icml.cc/virtual/2026/poster/64121,https://www.alphaxiv.org/abs/2601.20802
"Diffusion, flow, and generative modeling",8,Protein Autoregressive Modeling via Multiscale Structure Generation,,true,31,49,81,2.4988,"Applications->Chemistry, Physics, and Earth Sciences",https://icml.cc/virtual/2026/poster/66808,https://www.alphaxiv.org/abs/2602.04883
"Diffusion, flow, and generative modeling",9,PaperBanana: Automating Academic Illustration for AI Scientists,,false,420,123,6765,2.4359,Deep Learning->Large Language Models,https://icml.cc/virtual/2026/poster/65206,https://www.alphaxiv.org/abs/2601.23265
"Diffusion, flow, and generative modeling",10,DFlash: Block Diffusion for Flash Speculative Decoding,,false,153,272,5451,2.3519,Deep Learning->Large Language Models,https://icml.cc/virtual/2026/poster/64301,https://www.alphaxiv.org/abs/2602.06036
"Diffusion, flow, and generative modeling",11,Any-Order GPT as Masked Diffusion Model: Decoupling Formulation and Architecture,,true,37,11,36,2.2817,Deep Learning->Generative Models and Autoencoders,https://icml.cc/virtual/2026/poster/61245,https://www.alphaxiv.org/abs/2506.19935
"Diffusion, flow, and generative modeling",12,Learning Unmasking Policies for Diffusion Language Models,,true,44,67,16,2.2291,Deep Learning->Large Language Models,https://icml.cc/virtual/2026/poster/65277,https://www.alphaxiv.org/abs/2512.09106
Interpretability and mechanistic analysis,1,The Obfuscation Atlas: Mapping Where Honesty Emerges in RLVR with Deception Probes,Outstanding Paper Honorable Mention,true,14,71,13,6.164,Social Aspects->Alignment,https://icml.cc/virtual/2026/poster/60766,https://www.alphaxiv.org/abs/2602.15515
Interpretability and mechanistic analysis,2,A Random Matrix Perspective on the Consistency of Diffusion Models,Outstanding Paper Honorable Mention,true,14,96,0,5.6787,Deep Learning->Generative Models and Autoencoders,https://icml.cc/virtual/2026/poster/62241,https://www.alphaxiv.org/abs/2602.02908
Interpretability and mechanistic analysis,3,Reinforcement Learning via Self-Distillation,,false,718,334,1008,2.7426,Deep Learning->Algorithms,https://icml.cc/virtual/2026/poster/64121,https://www.alphaxiv.org/abs/2601.20802
Interpretability and mechanistic analysis,4,Controlled LLM Training on Spectral Sphere,,true,115,42,130,2.6732,"Optimization->Large Scale, Parallel and Distributed",https://icml.cc/virtual/2026/poster/66212,https://www.alphaxiv.org/abs/2601.08393
Interpretability and mechanistic analysis,5,Mechanistic Data Attribution: Tracing the Training Origins of Interpretable LLM Units,,true,48,18,16,2.1501,Deep Learning->Large Language Models,https://icml.cc/virtual/2026/poster/64259,https://www.alphaxiv.org/abs/2601.21996
Interpretability and mechanistic analysis,6,Are VLMs Seeing or Just Saying? Uncovering the Illusion of Visual Re-examination,,true,16,42,12,2.102,,https://icml.cc/virtual/2026/poster/65441,https://www.alphaxiv.org/abs/2605.15864
